SecondsFromStart,FramesFromStart,FoxesPopulation,RabbitPopulation,RabbitSpeedMedian,RabbitSensoryRangeMedian,RabbitFertilityMedian,FoxSpeedMedian,FoxSensoryRangeMedian,FoxFertilityMedian,MinRabbitLifeTime,AverageRabbitLifeTime,MaxRabbitLifeTime,MinFoxLifeTime,AverageFoxLifeTime,MaxFoxLifeTime,FoxesDiedOfHunger,FoxesDiedOfThirst,RabbitsDiedOfHunger,RabbitsDiedOfThirst,RabbitsDiedOfBeingEaten
6,9153750,2,4,69,59,44,50,50,50,50,50,50,0,0,0,0,0,0,0,0
7,143964100,2,4,69,59,44,50,50,50,100,100,100,0,0,0,0,0,0,0,0
7,374775150,2,4,69,59,44,50,50,50,150,150,150,0,0,0,0,0,0,0,0
7,592761200,2,4,69,59,44,50,50,50,200,200,200,0,0,0,0,0,0,0,0
7,808156250,2,4,69,59,44,50,50,50,250,250,250,0,0,0,0,0,0,0,0
8,023324300,2,4,69,59,44,50,50,50,300,300,300,0,0,0,0,0,0,0,0
8,253544350,2,4,69,59,44,50,50,50,350,350,350,0,0,0,0,0,0,0,0
8,476635400,2,4,69,59,44,50,50,50,400,400,400,0,0,0,0,0,0,0,0
8,691402450,2,4,69,59,44,50,50,50,450,450,450,0,0,0,0,0,0,0,0
8,905774500,2,4,69,59,44,50,50,50,500,500,500,0,0,0,0,0,0,0,0
9,122422550,2,4,69,59,44,50,50,50,550,550,550,0,0,0,0,0,0,0,0
9,352575600,2,4,69,59,44,50,50,50,600,600,600,0,0,0,0,0,0,0,0
9,569031650,2,4,69,59,44,50,50,50,650,650,650,0,0,0,0,0,0,0,0
9,807151700,2,4,69,59,44,50,50,50,700,700,700,0,0,0,0,0,0,0,0
10,04265750,2,4,69,59,44,50,50,50,750,750,750,0,0,0,0,0,0,0,0
10,27992800,2,4,69,59,44,50,50,50,800,800,800,0,0,0,0,0,0,0,0
10,49797850,2,4,69,59,44,50,50,50,850,850,850,0,0,0,0,0,0,0,0
10,71408900,2,4,69,59,44,50,50,50,900,900,900,0,0,0,0,0,0,0,0
10,94311950,2,4,69,59,44,50,50,50,950,950,950,0,0,0,0,0,0,0,0
11,172591000,2,4,69,59,44,50,50,50,1000,1000,1000,0,0,0,0,0,0,0,0
11,44681050,2,4,69,59,44,50,50,50,1050,1050,1050,0,0,0,0,0,0,0,0
11,705691100,2,4,69,59,44,50,50,50,1100,1100,1100,0,0,0,0,0,0,0,0
11,953371150,2,4,69,59,44,50,50,50,1150,1150,1150,0,0,0,0,0,0,0,0
12,174181200,2,4,69,59,44,50,50,50,1200,1200,1200,0,0,0,0,0,0,0,0
12,407541250,2,4,69,59,44,50,50,50,1250,1250,1250,0,0,0,0,0,0,0,0
12,649841300,2,4,69,59,44,50,50,50,1300,1300,1300,0,0,0,0,0,0,0,0
12,877931350,2,4,69,59,44,50,50,50,1350,1350,1350,0,0,0,0,0,0,0,0
13,1131400,2,4,69,59,44,50,50,50,1400,1400,1400,0,0,0,0,0,0,0,0
13,353811450,2,4,69,59,44,50,50,50,1450,1450,1450,0,0,0,0,0,0,0,0
13,577281500,2,4,69,59,44,50,50,50,1500,1500,1500,0,0,0,0,0,0,0,0
13,807751550,2,4,69,59,44,50,50,50,1550,1550,1550,0,0,0,0,0,0,0,0
14,050791600,2,4,69,59,44,50,50,50,1600,1600,1600,0,0,0,0,0,0,0,0
14,277521650,2,4,69,59,44,50,50,50,1650,1650,1650,0,0,0,0,0,0,0,0
14,510721700,2,4,69,59,44,50,50,50,1700,1700,1700,0,0,0,0,0,0,0,0
14,760091750,2,4,69,59,44,50,50,50,1750,1750,1750,0,0,0,0,0,0,0,0
14,978531800,2,4,69,59,44,50,50,50,1800,1800,1800,0,0,0,0,0,0,0,0
15,200811850,2,4,69,59,44,50,50,50,1850,1850,1850,0,0,0,0,0,0,0,0
15,420681900,2,4,69,59,44,50,50,50,1900,1900,1900,0,0,0,0,0,0,0,0
15,659041950,2,4,69,59,44,50,50,50,1950,1950,1950,0,0,0,0,0,0,0,0
15,900362000,2,4,69,59,44,50,50,50,2000,2000,2000,0,0,0,0,0,0,0,0
16,149122050,2,4,69,59,44,50,50,50,2050,2050,2050,0,0,0,0,0,0,0,0
16,368572100,2,4,69,59,44,50,50,50,2100,2100,2100,0,0,0,0,0,0,0,0
16,591872150,2,4,69,59,44,50,50,50,2150,2150,2150,0,0,0,0,0,0,0,0
16,822682200,2,4,69,59,44,50,50,50,2200,2200,2200,0,0,0,0,0,0,0,0
17,055162250,2,4,69,59,44,50,50,50,2250,2250,2250,0,0,0,0,0,0,0,0
17,29152300,2,4,69,59,44,50,50,50,2300,2300,2300,0,0,0,0,0,0,0,0
17,517792350,2,4,69,59,44,50,50,50,2350,2350,2350,0,0,0,0,0,0,0,0
17,749312400,2,4,69,59,44,50,50,50,2400,2400,2400,0,0,0,0,0,0,0,0
17,966142450,2,4,69,59,44,50,50,50,2450,2450,2450,0,0,0,0,0,0,0,0
18,180952500,2,4,69,59,44,50,50,50,2500,2500,2500,0,0,0,0,0,0,0,0
18,396292550,2,4,69,59,44,50,50,50,2550,2550,2550,0,0,0,0,0,0,0,0
18,611442600,2,4,69,59,44,50,50,50,2600,2600,2600,0,0,0,0,0,0,0,0
18,842342650,2,4,69,59,44,50,50,50,2650,2650,2650,0,0,0,0,0,0,0,0
19,057992700,2,4,69,59,44,50,50,50,2700,2700,2700,0,0,0,0,0,0,0,0
19,282382750,2,4,69,59,44,50,50,50,2750,2750,2750,0,0,0,0,0,0,0,0
19,498352800,2,4,69,59,44,50,50,50,2800,2800,2800,0,0,0,0,0,0,0,0
19,714672850,2,4,69,59,44,50,50,50,2850,2850,2850,0,0,0,0,0,0,0,0
19,945922900,2,4,69,59,44,50,50,50,2900,2900,2900,0,0,0,0,0,0,0,0
20,162342950,2,4,69,59,44,50,50,50,2950,2950,2950,0,0,0,0,0,0,0,0
20,378973000,2,4,69,59,44,50,50,50,3000,3000,3000,0,0,0,0,0,0,0,0
20,594633050,2,4,69,59,44,50,50,50,3050,3050,3050,0,0,0,0,0,0,0,0
20,812013100,2,4,69,59,44,50,50,50,3100,3100,3100,0,0,0,0,0,0,0,0
21,050853150,2,4,69,59,44,50,50,50,3150,3150,3150,0,0,0,0,0,0,0,0
21,266553200,2,4,69,59,44,50,50,50,3200,3200,3200,0,0,0,0,0,0,0,0
21,482463250,2,4,69,59,44,50,50,50,3250,3250,3250,0,0,0,0,0,0,0,0
21,698123300,2,4,69,59,44,50,50,50,3300,3300,3300,0,0,0,0,0,0,0,0
21,915913350,2,4,69,59,44,50,50,50,3350,3350,3350,0,0,0,0,0,0,0,0
22,14693400,2,4,69,59,44,50,50,50,3400,3400,3400,0,0,0,0,0,0,0,0
22,369173450,2,4,69,59,44,50,50,50,3450,3450,3450,0,0,0,0,0,0,0,0
22,583523500,2,4,69,59,44,50,50,50,3500,3500,3500,0,0,0,0,0,0,0,0
22,81033550,2,4,69,59,44,50,50,50,3550,3550,3550,0,0,0,0,0,0,0,0
23,039063600,2,4,69,59,44,50,50,50,3600,3600,3600,0,0,0,0,0,0,0,0
23,256643650,2,4,69,59,44,50,50,50,3650,3650,3650,0,0,0,0,0,0,0,0
23,473633700,2,4,69,59,44,50,50,50,3700,3700,3700,0,0,0,0,0,0,0,0
23,68863750,2,4,69,59,44,50,50,50,3750,3750,3750,0,0,0,0,0,0,0,0
23,906173800,2,4,69,59,44,50,50,50,3800,3800,3800,0,0,0,0,0,0,0,0
24,123143850,2,4,69,59,44,50,50,50,3850,3850,3850,0,0,0,0,0,0,0,0
24,360983900,2,4,69,59,44,50,50,50,3900,3900,3900,0,0,0,0,0,0,0,0
24,579963950,2,4,69,59,44,50,50,50,3950,3950,3950,0,0,0,0,0,0,0,0
24,804714000,2,4,69,59,44,50,50,50,4000,4000,4000,0,0,0,0,0,0,0,0
25,021344050,2,4,69,59,44,50,50,50,4050,4050,4050,0,0,0,0,0,0,0,0
25,261554100,2,4,69,59,44,50,50,50,4100,4100,4100,0,0,0,0,0,0,0,0
25,477674150,2,4,69,59,44,50,50,50,4150,4150,4150,0,0,0,0,0,0,0,0
25,696574200,2,4,69,59,44,50,50,50,4200,4200,4200,0,0,0,0,0,0,0,0
25,91254250,2,4,69,59,44,50,50,50,4250,4250,4250,0,0,0,0,0,0,0,0
26,149154300,2,4,69,59,44,50,50,50,4300,4300,4300,0,0,0,0,0,0,0,0
26,365364350,2,4,69,59,44,50,50,50,4350,4350,4350,0,0,0,0,0,0,0,0
26,581764400,2,4,69,59,44,50,50,50,4400,4400,4400,0,0,0,0,0,0,0,0
