SecondsFromStart,FramesFromStart,FoxesPopulation,RabbitPopulation,RabbitSpeedMedian,RabbitSensoryRangeMedian,RabbitFertilityMedian,FoxSpeedMedian,FoxSensoryRangeMedian,FoxFertilityMedian,FoxesDiedOfHunger,FoxesDiedOfThirst,RabbitsDiedOfHunger,RabbitsDiedOfThirst,RabbitsDiedOfBeingEaten
6.708352,50,0,4,69,59,44,,,,0,0,0,0,0
6.91149,100,0,4,69,59,44,,,,0,0,0,0,0
7.110105,150,0,4,69,59,44,,,,0,0,0,0,0
7.307476,200,0,4,69,59,44,,,,0,0,0,0,0
7.505351,250,0,4,69,59,44,,,,0,0,0,0,0
7.702206,300,0,4,69,59,44,,,,0,0,0,0,0
7.907292,350,0,4,69,59,44,,,,0,0,0,0,0
8.103458,400,0,4,69,59,44,,,,0,0,0,0,0
8.288838,450,0,4,69,59,44,,,,0,0,0,0,0
8.486576,500,0,4,69,59,44,,,,0,0,0,0,0
8.683758,550,0,4,69,59,44,,,,0,0,0,0,0
8.882118,600,0,4,69,59,44,,,,0,0,0,0,0
9.08,650,0,4,69,59,44,,,,0,0,0,0,0
9.277939,700,0,4,69,59,44,,,,0,0,0,0,0
9.484494,750,0,4,69,59,44,,,,0,0,0,0,0
9.681481,800,0,4,69,59,44,,,,0,0,0,0,0
9.879694,850,0,4,69,59,44,,,,0,0,0,0,0
10.0787,900,0,4,69,59,44,,,,0,0,0,0,0
10.27854,950,0,4,69,59,44,,,,0,0,0,0,0
10.478,1000,0,4,69,59,44,,,,0,0,0,0,0
10.67566,1050,0,4,69,59,44,,,,0,0,0,0,0
10.87472,1100,0,4,69,59,44,,,,0,0,0,0,0
11.08223,1150,0,4,69,59,44,,,,0,0,0,0,0
11.28187,1200,0,4,69,59,44,,,,0,0,0,0,0
11.47907,1250,0,4,69,59,44,,,,0,0,0,0,0
11.67868,1300,0,4,69,59,44,,,,0,0,0,0,0
11.87698,1350,0,4,69,59,44,,,,0,0,0,0,0
12.0743,1400,0,4,69,59,44,,,,0,0,0,0,0
12.27225,1450,0,4,69,59,44,,,,0,0,0,0,0
12.47142,1500,0,4,69,59,44,,,,0,0,0,0,0
12.67791,1550,0,4,69,59,44,,,,0,0,0,0,0
12.87512,1600,0,4,69,59,44,,,,0,0,0,0,0
13.07459,1650,0,4,69,59,44,,,,0,0,0,0,0
13.27242,1700,0,4,69,59,44,,,,0,0,0,0,0
13.4706,1750,0,4,69,59,44,,,,0,0,0,0,0
13.66976,1800,0,4,69,59,44,,,,0,0,0,0,0
13.8666,1850,0,4,69,59,44,,,,0,0,0,0,0
14.06455,1900,0,4,69,59,44,,,,0,0,0,0,0
14.27636,1950,0,4,69,59,44,,,,0,0,0,0,0
14.47478,2000,0,4,69,59,44,,,,0,0,0,0,0
14.67326,2050,0,4,69,59,44,,,,0,0,0,0,0
14.87085,2100,0,4,69,59,44,,,,0,0,0,0,0
15.06817,2150,0,4,69,59,44,,,,0,0,0,0,0
15.32078,2200,0,4,69,59,44,,,,0,0,0,0,0
15.53237,2250,0,4,69,59,44,,,,0,0,0,0,0
15.7426,2300,0,4,69,59,44,,,,0,0,0,0,0
15.94422,2350,0,4,69,59,44,,,,0,0,0,0,0
16.1457,2400,0,4,69,59,44,,,,0,0,0,0,0
16.3609,2450,0,4,69,59,44,,,,0,0,0,0,0
16.56215,2500,0,4,69,59,44,,,,0,0,0,0,0
16.76297,2550,0,4,69,59,44,,,,0,0,0,0,0
16.96392,2600,0,4,69,59,44,,,,0,0,0,0,0
17.16237,2650,0,4,69,59,44,,,,0,0,0,0,0
17.3664,2700,0,4,69,59,44,,,,0,0,0,0,0
17.60142,2750,0,4,69,59,44,,,,0,0,0,0,0
17.81284,2800,0,4,69,59,44,,,,0,0,0,0,0
18.01186,2850,0,4,69,59,44,,,,0,0,0,0,0
18.2122,2900,0,4,69,59,44,,,,0,0,0,0,0
18.41423,2950,0,4,69,59,44,,,,0,0,0,0,0
18.61518,3000,0,4,69,59,44,,,,0,0,0,0,0
18.81639,3050,0,4,69,59,44,,,,0,0,0,0,0
19.02516,3100,0,4,69,59,44,,,,0,0,0,0,0
19.22605,3150,0,4,69,59,44,,,,0,0,0,0,0
19.42645,3200,0,4,69,59,44,,,,0,0,0,0,0
19.63014,3250,0,4,69,59,44,,,,0,0,0,0,0
19.8307,3300,0,4,69,59,44,,,,0,0,0,0,0
20.03126,3350,0,4,69,59,44,,,,0,0,0,0,0
20.23069,3400,0,4,69,59,44,,,,0,0,0,0,0
20.42998,3450,0,4,69,59,44,,,,0,0,0,0,0
20.63813,3500,0,4,69,59,44,,,,0,0,0,0,0
20.83828,3550,0,4,69,59,44,,,,0,0,0,0,0
21.03912,3600,0,4,69,59,44,,,,0,0,0,0,0
21.2396,3650,0,4,69,59,44,,,,0,0,0,0,0
21.43965,3700,0,4,69,59,44,,,,0,0,0,0,0
21.64025,3750,0,4,69,59,44,,,,0,0,0,0,0
21.84029,3800,0,4,69,59,44,,,,0,0,0,0,0
22.04307,3850,0,4,69,59,44,,,,0,0,0,0,0
22.25493,3900,0,4,69,59,44,,,,0,0,0,0,0
22.45471,3950,0,4,69,59,44,,,,0,0,0,0,0
22.65462,4000,0,4,69,59,44,,,,0,0,0,0,0
22.85385,4050,0,4,69,59,44,,,,0,0,0,0,0
23.0538,4100,0,4,69,59,44,,,,0,0,0,0,0
23.25352,4150,0,4,69,59,44,,,,0,0,0,0,0
23.45307,4200,0,4,69,59,44,,,,0,0,0,0,0
23.65995,4250,0,4,69,59,44,,,,0,0,0,0,0
23.86096,4300,0,4,69,59,44,,,,0,0,0,0,0
24.0626,4350,0,4,69,59,44,,,,0,0,0,0,0
24.26271,4400,0,4,69,59,44,,,,0,0,0,0,0
24.46366,4450,0,4,69,59,44,,,,0,0,0,0,0
24.66459,4500,0,4,69,59,44,,,,0,0,0,0,0
24.86359,4550,0,4,69,59,44,,,,0,0,0,0,0
25.06458,4600,0,4,69,59,44,,,,0,0,0,0,0
25.27318,4650,0,4,69,59,44,,,,0,0,0,0,0
25.48415,4700,0,4,69,59,44,,,,0,0,0,0,0
25.68357,4750,0,4,69,59,44,,,,0,0,0,0,0
25.88364,4800,0,4,69,59,44,,,,0,0,0,0,0
26.08473,4850,0,4,69,59,44,,,,0,0,0,0,0
26.28578,4900,0,4,69,59,44,,,,0,0,0,0,0
26.48627,4950,0,4,69,59,44,,,,0,0,0,0,0
26.68577,5000,0,4,69,59,44,,,,0,0,0,0,0
26.90754,5050,0,4,69,59,44,,,,0,0,0,0,0
27.10863,5100,0,4,69,59,44,,,,0,0,0,0,0
27.31043,5150,0,4,69,59,44,,,,0,0,0,0,0
27.51134,5200,0,4,69,59,44,,,,0,0,0,0,0
27.71313,5250,0,4,69,59,44,,,,0,0,0,0,0
27.93457,5300,0,4,69,59,44,,,,0,0,0,0,0
28.15417,5350,0,4,69,59,44,,,,0,0,0,0,0
28.36102,5400,0,4,69,59,44,,,,0,0,0,0,0
28.57073,5450,0,4,69,59,44,,,,0,0,0,0,0
28.78074,5500,0,4,69,59,44,,,,0,0,0,0,0
29.0067,5550,0,4,69,59,44,,,,0,0,0,0,0
29.219,5600,0,4,69,59,44,,,,0,0,0,0,0
29.42846,5650,0,4,69,59,44,,,,0,0,0,0,0
29.64022,5700,0,4,69,59,44,,,,0,0,0,0,0
29.85175,5750,0,4,69,59,44,,,,0,0,0,0,0
30.0689,5800,0,4,69,59,44,,,,0,0,0,0,0
30.28549,5850,0,4,69,59,44,,,,0,0,0,0,0
30.51461,5900,0,4,69,59,44,,,,0,0,0,0,0
30.72505,5950,0,4,69,59,44,,,,0,0,0,0,0
30.93634,6000,0,4,69,59,44,,,,0,0,0,0,0
31.14839,6050,0,4,69,59,44,,,,0,0,0,0,0
31.36096,6100,0,4,69,59,44,,,,0,0,0,0,0
31.57206,6150,0,4,69,59,44,,,,0,0,0,0,0
31.80944,6200,0,4,69,59,44,,,,0,0,0,0,0
32.01922,6250,0,4,69,59,44,,,,0,0,0,0,0
32.23078,6300,0,4,69,59,44,,,,0,0,0,0,0
32.46101,6350,0,4,69,59,44,,,,0,0,0,0,0
32.68126,6400,0,4,69,59,44,,,,0,0,0,0,0
32.92775,6450,0,4,69,59,44,,,,0,0,0,0,0
33.151,6500,0,4,69,59,44,,,,0,0,0,0,0
33.36833,6550,0,4,69,59,44,,,,0,0,0,0,0
33.57767,6600,0,4,69,59,44,,,,0,0,0,0,0
33.80695,6650,0,4,69,59,44,,,,0,0,0,0,0
34.01821,6700,0,4,69,59,44,,,,0,0,0,0,0
34.2279,6750,0,4,69,59,44,,,,0,0,0,0,0
34.4385,6800,0,4,69,59,44,,,,0,0,0,0,0
34.65042,6850,0,4,69,59,44,,,,0,0,0,0,0
34.86103,6900,0,4,69,59,44,,,,0,0,0,0,0
35.07166,6950,0,4,69,59,44,,,,0,0,0,0,0
35.30899,7000,0,4,69,59,44,,,,0,0,0,0,0
35.52138,7050,0,4,69,59,44,,,,0,0,0,0,0
35.73547,7100,0,4,69,59,44,,,,0,0,0,0,0
35.94486,7150,0,4,69,59,44,,,,0,0,0,0,0
36.15182,7200,0,4,69,59,44,,,,0,0,0,0,0
36.3619,7250,0,4,69,59,44,,,,0,0,0,0,0
36.57184,7300,0,4,69,59,44,,,,0,0,0,0,0
36.779,7350,0,4,69,59,44,,,,0,0,0,0,0
36.98895,7400,0,4,69,59,44,,,,0,0,0,0,0
37.22453,7450,0,4,69,59,44,,,,0,0,0,0,0
37.4367,7500,0,4,69,59,44,,,,0,0,0,0,0
37.6468,7550,0,4,69,59,44,,,,0,0,0,0,0
37.85822,7600,0,4,69,59,44,,,,0,0,0,0,0
38.06884,7650,0,4,69,59,44,,,,0,0,0,0,0
38.28287,7700,0,4,69,59,44,,,,0,0,0,0,0
38.51517,7750,0,4,69,59,44,,,,0,0,0,0,0
38.72472,7800,0,4,69,59,44,,,,0,0,0,0,0
38.93464,7850,0,4,69,59,44,,,,0,0,0,0,0
39.16146,7900,0,4,69,59,44,,,,0,0,0,0,0
39.37271,7950,0,4,69,59,44,,,,0,0,0,0,0
39.58485,8000,0,4,69,59,44,,,,0,0,0,0,0
39.81364,8050,0,4,69,59,44,,,,0,0,0,0,0
40.02509,8100,0,4,69,59,44,,,,0,0,0,0,0
40.23532,8150,0,4,69,59,44,,,,0,0,0,0,0
40.44279,8200,0,4,69,59,44,,,,0,0,0,0,0
40.66447,8250,0,4,69,59,44,,,,0,0,0,0,0
40.87654,8300,0,4,69,59,44,,,,0,0,0,0,0
41.08846,8350,0,4,69,59,44,,,,0,0,0,0,0
41.31902,8400,0,4,69,59,44,,,,0,0,0,0,0
41.52485,8450,0,4,69,59,44,,,,0,0,0,0,0
41.72851,8500,0,4,69,59,44,,,,0,0,0,0,0
41.92985,8550,0,4,69,59,44,,,,0,0,0,0,0
42.14252,8600,0,4,69,59,44,,,,0,0,0,0,0
42.34626,8650,0,4,69,59,44,,,,0,0,0,0,0
42.54872,8700,0,4,69,59,44,,,,0,0,0,0,0
42.75164,8750,0,4,69,59,44,,,,0,0,0,0,0
42.95398,8800,0,4,69,59,44,,,,0,0,0,0,0
43.15872,8850,0,4,69,59,44,,,,0,0,0,0,0
43.36675,8900,0,4,69,59,44,,,,0,0,0,0,0
43.56966,8950,0,4,69,59,44,,,,0,0,0,0,0
43.77801,9000,0,4,69,59,44,,,,0,0,0,0,0
43.98037,9050,0,4,69,59,44,,,,0,0,0,0,0
44.18208,9100,0,4,69,59,44,,,,0,0,0,0,0
44.38629,9150,0,4,69,59,44,,,,0,0,0,0,0
44.58802,9200,0,4,69,59,44,,,,0,0,0,0,0
44.80406,9250,0,4,69,59,44,,,,0,0,0,0,0
45.0057,9300,0,4,69,59,44,,,,0,0,0,0,0
45.20904,9350,0,4,69,59,44,,,,0,0,0,0,0
45.41209,9400,0,4,69,59,44,,,,0,0,0,0,0
45.63168,9450,0,4,69,59,44,,,,0,0,0,0,0
45.83485,9500,0,4,69,59,44,,,,0,0,0,0,0
46.03856,9550,0,4,69,59,44,,,,0,0,0,0,0
46.25702,9600,0,4,69,59,44,,,,0,0,0,0,0
46.47374,9650,0,4,69,59,44,,,,0,0,0,0,0
46.68545,9700,0,4,69,59,44,,,,0,0,0,0,0
46.9165,9750,0,4,69,59,44,,,,0,0,0,0,0
47.12968,9800,0,4,69,59,44,,,,0,0,0,0,0
47.35084,9850,0,4,69,59,44,,,,0,0,0,0,0
47.56335,9900,0,4,69,59,44,,,,0,0,0,0,0
47.77542,9950,0,4,69,59,44,,,,0,0,0,0,0
47.98767,10000,0,4,69,59,44,,,,0,0,0,0,0
48.21835,10050,0,4,69,59,44,,,,0,0,0,0,0
48.43153,10100,0,4,69,59,44,,,,0,0,0,0,0
48.66124,10150,0,4,69,59,44,,,,0,0,0,0,0
48.88578,10200,0,4,69,59,44,,,,0,0,0,0,0
49.14656,10250,0,4,69,59,44,,,,0,0,0,0,0
49.37265,10300,0,4,69,59,44,,,,0,0,0,0,0
49.624,10350,0,4,69,59,44,,,,0,0,0,0,0
49.84572,10400,0,4,69,59,44,,,,0,0,0,0,0
50.0707,10450,0,4,69,59,44,,,,0,0,0,0,0
50.31863,10500,0,4,69,59,44,,,,0,0,0,0,0
50.54486,10550,0,4,69,59,44,,,,0,0,0,0,0
50.75706,10600,0,4,69,59,44,,,,0,0,0,0,0
50.98143,10650,0,4,69,59,44,,,,0,0,0,0,0
51.20581,10700,0,4,69,59,44,,,,0,0,0,0,0
51.41218,10750,0,4,69,59,44,,,,0,0,0,0,0
51.61646,10800,0,4,69,59,44,,,,0,0,0,0,0
51.81945,10850,0,4,69,59,44,,,,0,0,0,0,0
